graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,507,1,1.000000,12.886598,29455.000000,23504.000000,4257.000000,1.000000,0,56,5.521259,1.000000,1.000000,40000.000000,0.012675,NaN,NaN
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,255,2,3.000000,56.185567,29455.000000,6425.000000,4257.000000,2.980000,0,18,1.509279,3.000000,0.993333,2828.427125,0.090156,NaN,NaN
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,212,3,5.000000,63.573883,29455.000000,4669.000000,4257.000000,4.941176,0,10,1.096782,5.000000,0.988235,1169.607095,0.181257,NaN,NaN
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,205,4,7.000000,64.776632,29455.000000,4445.000000,4257.000000,6.843750,0,11,1.044163,7.000000,0.977679,752.120619,0.272563,NaN,NaN
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,200,5,9.000000,65.635739,29455.000000,4289.000000,4257.000000,7.833333,0,11,1.007517,9.000000,0.870370,577.079962,0.346572,NaN,NaN
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,521,1,1.000000,10.481100,29940.000000,24837.000000,4386.000000,1.000000,0,15,5.662791,1.000000,1.000000,40000.000000,0.013025,NaN,NaN
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,258,2,3.000000,55.670103,29940.000000,6738.000000,4386.000000,2.962963,0,13,1.536252,3.000000,0.987654,2828.427125,0.091217,NaN,NaN
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,213,3,5.000000,63.402062,29940.000000,4814.000000,4386.000000,4.984848,0,11,1.097583,5.000000,0.996970,1169.607095,0.182112,NaN,NaN
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,205,4,7.000000,64.776632,29940.000000,4571.000000,4386.000000,6.514286,0,8,1.042180,7.000000,0.930612,752.120619,0.272563,NaN,NaN
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,201,5,9.000000,65.463918,29940.000000,4438.000000,4386.000000,8.457143,0,8,1.011856,9.000000,0.939683,577.079962,0.348305,NaN,NaN
random_connected_er_p002_n200_p0.020_rep3_seed22002,200,597,531,1,1.000000,11.055276,30052.000000,24628.000000,3889.000000,1.000000,0,12,6.332733,1.000000,1.000000,40000.000000,0.013275,NaN,NaN
random_connected_er_p002_n200_p0.020_rep3_seed22002,200,597,248,2,3.000000,58.458961,30052.000000,5627.000000,3889.000000,2.926829,0,10,1.446902,3.000000,0.975610,2828.427125,0.087681,NaN,NaN
