graph,n,original_edges,spanner_edges,k,stretch,selected_edges,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
small_triangle,3,3,2,1,1.0,2,33.333333,5.0,2.0,2.0,1.0,0,19,1.0,1.0,1.0,9.0,0.222222,,,other,0.6666666666666666,9.0,0.222222,
small_triangle,3,3,2,2,3.0,2,33.333333,5.0,2.0,2.0,1.0,0,0,1.0,3.0,0.333333,5.196152,0.3849,4.0,0.5,other,0.6666666666666666,5.196152,0.3849,0.5
small_triangle,3,3,2,3,5.0,2,33.333333,5.0,2.0,2.0,1.0,0,0,1.0,5.0,0.2,4.326749,0.462241,3.0,0.666667,other,0.6666666666666666,4.326749,0.462241,0.666667
small_triangle,3,3,2,4,7.0,2,33.333333,5.0,2.0,2.0,1.0,0,0,1.0,7.0,0.142857,3.948222,0.506557,2.666667,0.75,other,0.6666666666666666,3.948222,0.506557,0.75
small_triangle,3,3,2,5,9.0,2,33.333333,5.0,2.0,2.0,1.0,0,0,1.0,9.0,0.111111,3.737193,0.535161,2.5,0.8,other,0.6666666666666666,3.737193,0.535161,0.8
path_n30,30,29,29,1,1.0,29,0.0,29.0,29.0,29.0,1.0,0,1,1.0,1.0,1.0,900.0,0.032222,,,path,1.0,900.0,0.032222,
path_n30,30,29,29,2,3.0,29,0.0,29.0,29.0,29.0,1.0,0,0,1.0,3.0,0.333333,164.316767,0.176488,58.0,0.5,path,1.0,164.316767,0.176488,0.5
path_n30,30,29,29,3,5.0,29,0.0,29.0,29.0,29.0,1.0,0,0,1.0,5.0,0.2,93.216975,0.311102,43.5,0.666667,path,1.0,93.216975,0.311102,0.666667
path_n30,30,29,29,4,7.0,29,0.0,29.0,29.0,29.0,1.0,0,0,1.0,7.0,0.142857,70.21042,0.413044,38.666667,0.75,path,1.0,70.21042,0.413044,0.75
path_n30,30,29,29,5,9.0,29,0.0,29.0,29.0,29.0,1.0,0,0,1.0,9.0,0.111111,59.230515,0.489612,36.25,0.8,path,1.0,59.230515,0.489612,0.8
cycle_n30,30,30,30,1,1.0,30,0.0,30.0,30.0,29.0,1.0,0,0,1.034483,1.0,1.0,900.0,0.033333,,,cycle,1.0,900.0,0.033333,
cycle_n30,30,30,30,2,3.0,30,0.0,30.0,30.0,29.0,1.0,0,0,1.034483,3.0,0.333333,164.316767,0.182574,58.0,0.517241,cycle,1.0,164.316767,0.182574,0.517241
cycle_n30,30,30,30,3,5.0,30,0.0,30.0,30.0,29.0,1.0,0,0,1.034483,5.0,0.2,93.216975,0.32183,43.5,0.689655,cycle,1.0,93.216975,0.32183,0.689655
cycle_n30,30,30,30,4,7.0,30,0.0,30.0,30.0,29.0,1.0,0,0,1.034483,7.0,0.142857,70.21042,0.427287,38.666667,0.775862,cycle,1.0,70.21042,0.427287,0.775862
cycle_n30,30,30,30,5,9.0,30,0.0,30.0,30.0,29.0,1.0,0,0,1.034483,9.0,0.111111,59.230515,0.506496,36.25,0.827586,cycle,1.0,59.230515,0.506496,0.827586
random_tree_n30_seed101,30,29,29,1,1.0,29,0.0,1153.0,1153.0,1153.0,1.0,0,0,1.0,1.0,1.0,900.0,0.032222,,,tree,1.0,900.0,0.032222,
random_tree_n30_seed101,30,29,29,2,3.0,29,0.0,1153.0,1153.0,1153.0,1.0,0,0,1.0,3.0,0.333333,164.316767,0.176488,58.0,0.5,tree,1.0,164.316767,0.176488,0.5
random_tree_n30_seed101,30,29,29,3,5.0,29,0.0,1153.0,1153.0,1153.0,1.0,0,0,1.0,5.0,0.2,93.216975,0.311102,43.5,0.666667,tree,1.0,93.216975,0.311102,0.666667
random_tree_n30_seed101,30,29,29,4,7.0,29,0.0,1153.0,1153.0,1153.0,1.0,0,0,1.0,7.0,0.142857,70.21042,0.413044,38.666667,0.75,tree,1.0,70.21042,0.413044,0.75
random_tree_n30_seed101,30,29,29,5,9.0,29,0.0,1153.0,1153.0,1153.0,1.0,0,0,1.0,9.0,0.111111,59.230515,0.489612,36.25,0.8,tree,1.0,59.230515,0.489612,0.8
complete_n12_seed102,12,66,20,1,1.0,20,69.69697,3407.0,393.0,121.0,1.0,0,0,3.247934,1.0,1.0,144.0,0.138889,,,complete,0.30303030303030304,144.0,0.138889,
