family,k,scenarios,avg_original_edges,avg_spanner_edges,avg_edge_reduction_percent,avg_weight_over_mst,max_observed_stretch,avg_runtime_ms,avg_general_bound_ratio
complete,1,6,579.3333333333334,72.16666666666667,84.004305,4.2443610000000005,1.0,3.1666666666666665,0.07611666666666667
complete,2,6,579.3333333333334,35.5,91.428265,1.1976758333333333,3.0,2.6666666666666665,0.2027975
complete,3,6,579.3333333333334,31.5,92.0547705,1.016289,5.0,1.3333333333333333,0.31962033333333334
complete,4,6,579.3333333333334,31.333333333333332,92.076138,1.0112474999999999,7.0,1.3333333333333333,0.4193618333333333
complete,5,6,579.3333333333334,31.0,92.111111,1.0,7.5,1.3333333333333333,0.4916163333333334
complete_unit,1,2,485.0,485.0,0.0,15.0,1.0,4.0,0.48124999999999996
complete_unit,2,2,485.0,29.0,92.5,1.0,2.0,1.0,0.1832935
complete_unit,3,2,485.0,29.0,92.5,1.0,2.0,1.0,0.31753750000000003
complete_unit,4,2,485.0,29.0,92.5,1.0,2.0,1.0,0.4184605
complete_unit,5,2,485.0,29.0,92.5,1.0,2.0,0.5,0.494019
cycle,1,4,85.0,85.0,0.0,1.017061,1.0,0.75,0.01666675
cycle,2,4,85.0,85.0,0.0,1.017061,1.0,0.25,0.12333074999999999
cycle,3,4,85.0,85.0,0.0,1.017061,1.0,0.5,0.245229
cycle,4,4,85.0,85.0,0.0,1.017061,1.0,0.5,0.34714075
cycle,5,4,85.0,85.0,0.0,1.017061,1.0,0.25,0.42815775
cycle_threshold,1,4,7.75,7.75,0.0,1.15515875,1.0,0.0,0.133631
cycle_threshold,2,4,7.75,7.75,0.0,1.15515875,1.0,0.0,0.36399825
cycle_threshold,3,4,7.75,7.5,4.16666675,1.10515875,5.0,0.0,0.48637949999999996
cycle_threshold,4,4,7.75,7.0,10.86309525,1.02777775,7.0,0.0,0.53550825
cycle_threshold,5,4,7.75,6.75,13.36309525,1.0,9.0,0.0,0.577078
grid_planar,1,3,185.33333333333334,170.33333333333334,6.624579,2.389193,1.0,0.3333333333333333,0.018359
grid_planar,2,3,185.33333333333334,121.0,32.771765333333335,1.354215,3.0,0.0,0.125292
grid_planar,3,3,185.33333333333334,110.0,39.010942666666665,1.1450593333333334,5.0,0.0,0.24075066666666667
grid_planar,4,3,185.33333333333334,106.33333333333333,41.604738,1.0799763333333334,7.0,0.0,0.335434
grid_planar,5,3,185.33333333333334,105.33333333333333,42.04244833333333,1.0603243333333332,7.952381,0.0,0.41788933333333333
other,1,1,3.0,2.0,33.333333,1.0,1.0,19.0,0.222222
other,2,1,3.0,2.0,33.333333,1.0,1.0,0.0,0.3849
other,3,1,3.0,2.0,33.333333,1.0,1.0,0.0,0.462241
other,4,1,3.0,2.0,33.333333,1.0,1.0,0.0,0.506557
other,5,1,3.0,2.0,33.333333,1.0,1.0,0.0,0.535161
path,1,4,84.0,84.0,0.0,1.0,1.0,0.5,0.01628325
path,2,4,84.0,84.0,0.0,1.0,1.0,0.5,0.12088525
path,3,4,84.0,84.0,0.0,1.0,1.0,0.25,0.2406305
path,4,4,84.0,84.0,0.0,1.0,1.0,0.0,0.340816
path,5,4,84.0,84.0,0.0,1.0,1.0,0.0,0.42049225
random_connected,1,2,109.0,74.5,24.896067,4.124299000000001,1.0,1.0,0.0594445
random_connected,2,2,109.0,38.5,59.2634045,1.2516175,2.9125,0.5,0.1852455
random_connected,3,2,109.0,34.5,62.31212,1.0395895,4.875,0.5,0.303461
random_connected,4,2,109.0,34.0,63.159578,1.0,5.049383,0.5,0.400369
random_connected,5,2,109.0,34.0,63.159578,1.0,5.049383,0.5,0.47791700000000004
random_dense,1,4,489.0,172.75,65.97299225,5.2973185,1.0,4.75,0.03647675
random_dense,2,4,489.0,81.0,83.74031049999999,1.2460855,3.0,3.25,0.14017675000000002
random_dense,3,4,489.0,71.25,85.52361825,1.0452015,4.9,2.25,0.25095675
random_dense,4,4,489.0,69.25,85.875457,1.00310725,5.73913,2.5,0.34685725
random_dense,5,4,489.0,69.0,85.91122250000001,1.0,8.785714,2.5,0.4262505
random_medium,1,11,366.27272727272725,246.0,33.25919227272727,6.561920090909092,1.0,3.909090909090909,0.03025727272727273
random_medium,2,11,366.27272727272725,109.63636363636364,70.22016263636364,1.3873318181818182,3.0,2.909090909090909,0.12600054545454545
random_medium,3,11,366.27272727272725,95.45454545454545,74.00349863636364,1.0810233636363635,5.0,2.090909090909091,0.2322270909090909
random_medium,4,11,366.27272727272725,92.0909090909091,74.88657954545455,1.0217148181818183,6.724138,2.0,0.326068
