graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,edge_density,er_probability,is_large_random_er,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,507,1,1.0,12.886598,29455.0,23504.0,4257.0,1.0,0,52,5.521259,1.0,1.0,40000.0,0.012675,,,random_er,0.029246231155778894,0.02,True,0.8711340206185567,40000.0,0.012675,
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,255,2,3.0,56.185567,29455.0,6425.0,4257.0,2.98,0,31,1.509279,3.0,0.993333,2828.427125,0.090156,,,random_er,0.029246231155778894,0.02,True,0.4381443298969072,2828.427125,0.090156,
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,212,3,5.0,63.573883,29455.0,4669.0,4257.0,4.941176,0,9,1.096782,5.0,0.988235,1169.607095,0.181257,,,random_er,0.029246231155778894,0.02,True,0.3642611683848797,1169.607095,0.181257,
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,205,4,7.0,64.776632,29455.0,4445.0,4257.0,6.84375,0,8,1.044163,7.0,0.977679,752.120619,0.272563,,,random_er,0.029246231155778894,0.02,True,0.35223367697594504,752.120619,0.272563,
random_connected_er_p002_n200_p0.020_rep1_seed22000,200,582,200,5,9.0,65.635739,29455.0,4289.0,4257.0,7.833333,0,9,1.007517,9.0,0.87037,577.079962,0.346572,,,random_er,0.029246231155778894,0.02,True,0.3436426116838488,577.079962,0.346572,
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,521,1,1.0,10.4811,29940.0,24837.0,4386.0,1.0,0,15,5.662791,1.0,1.0,40000.0,0.013025,,,random_er,0.029246231155778894,0.02,True,0.8951890034364262,40000.0,0.013025,
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,258,2,3.0,55.670103,29940.0,6738.0,4386.0,2.962963,0,11,1.536252,3.0,0.987654,2828.427125,0.091217,,,random_er,0.029246231155778894,0.02,True,0.44329896907216493,2828.427125,0.091217,
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,213,3,5.0,63.402062,29940.0,4814.0,4386.0,4.984848,0,12,1.097583,5.0,0.99697,1169.607095,0.182112,,,random_er,0.029246231155778894,0.02,True,0.36597938144329895,1169.607095,0.182112,
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,205,4,7.0,64.776632,29940.0,4571.0,4386.0,6.514286,0,10,1.04218,7.0,0.930612,752.120619,0.272563,,,random_er,0.029246231155778894,0.02,True,0.35223367697594504,752.120619,0.272563,
random_connected_er_p002_n200_p0.020_rep2_seed22001,200,582,201,5,9.0,65.463918,29940.0,4438.0,4386.0,8.457143,0,9,1.011856,9.0,0.939683,577.079962,0.348305,,,random_er,0.029246231155778894,0.02,True,0.34536082474226804,577.079962,0.348305,
random_connected_er_p002_n200_p0.020_rep3_seed22002,200,597,531,1,1.0,11.055276,30052.0,24628.0,3889.0,1.0,0,12,6.332733,1.0,1.0,40000.0,0.013275,,,random_er,0.03,0.02,True,0.8894472361809045,40000.0,0.013275,
random_connected_er_p002_n200_p0.020_rep3_seed22002,200,597,248,2,3.0,58.458961,30052.0,5627.0,3889.0,2.926829,0,9,1.446902,3.0,0.97561,2828.427125,0.087681,,,random_er,0.03,0.02,True,0.4154103852596315,2828.427125,0.087681,
random_connected_er_p002_n200_p0.020_rep3_seed22002,200,597,217,3,5.0,63.651591,30052.0,4443.0,3889.0,4.794872,0,8,1.142453,5.0,0.958974,1169.607095,0.185532,,,random_er,0.03,0.02,True,0.36348408710217756,1169.607095,0.185532,
