family,k,scenarios,avg_original_edges,avg_spanner_edges,avg_edge_reduction_percent,avg_weight_over_mst,max_observed_stretch,avg_runtime_ms,avg_general_bound_ratio
complete,1,2,3862.5,280.5,92.63117650000001,7.250328,1.0,51.0,0.036411
complete,2,2,3862.5,113.5,96.98662300000001,1.474461,3.0,33.0,0.138052
complete,3,2,3862.5,93.0,97.50368549999999,1.0954164999999998,5.0,29.0,0.239645
complete,4,2,3862.5,89.0,97.6082445,1.0281259999999999,7.0,25.5,0.332762
complete,5,2,3862.5,87.5,97.6385475,1.0121685,9.0,25.5,0.409896
grid_planar,1,2,1250.0,1140.0,9.0638235,2.957542,1.0,10.0,0.003128
grid_planar,2,2,1250.0,763.5,39.0018145,1.404635,2.986301,8.0,0.048597
grid_planar,3,2,1250.0,699.5,43.97686,1.171758,4.988764,9.5,0.128371
grid_planar,4,2,1250.0,675.5,45.911978500000004,1.0839985,7.0,10.0,0.2104005
grid_planar,5,2,1250.0,665.0,46.700695499999995,1.0488955,8.965517,10.0,0.2850415
random_er,1,30,6271.8,1448.4,62.574174633333335,10.0182775,1.0,633.8666666666667,0.010604866666666666
random_er,2,30,6271.8,570.6333333333333,84.1831993,1.7246887333333334,3.0,423.2,0.07546230000000001
random_er,3,30,6271.8,456.3,86.97643606666666,1.1950178666666667,5.0,374.6,0.16113446666666667
random_er,4,30,6271.8,423.23333333333335,87.71238203333334,1.0744956333333333,7.0,352.76666666666665,0.2444858
random_er,5,30,6271.8,410.2,88.04483936666666,1.0302974333333335,9.0,340.96666666666664,0.31754956666666667
