family,k,avg_planar_bound_ratio,max_planar_bound_ratio
cycle,2,0.50853075,0.517241
cycle,3,0.67804075,0.689655
cycle,4,0.762796,0.775862
cycle,5,0.81364875,0.827586
cycle_threshold,2,0.5775795,0.6
cycle_threshold,3,0.73677275,0.777778
cycle_threshold,4,0.77083325,0.833333
cycle_threshold,5,0.8,0.8
grid_planar,2,0.6088913333333333,0.68254
grid_planar,3,0.7365970000000001,0.814815
grid_planar,4,0.7937896666666667,0.845238
grid_planar,5,0.8402856666666668,0.901587
path,2,0.5,0.5
path,3,0.666667,0.666667
path,4,0.75,0.75
path,5,0.8,0.8
theta_lower_bound,2,0.649697,0.731707
theta_lower_bound,3,0.789027,0.874317
theta_lower_bound,4,0.82925375,0.925926
theta_lower_bound,5,0.83762375,0.950495
tree,2,0.5,0.5
tree,3,0.666667,0.666667
tree,4,0.75,0.75
tree,5,0.8,0.8
