graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio
small_triangle,3,3,2,1,1.000000,33.333333,5.000000,2.000000,2.000000,1.000000,0,13,1.000000,1.000000,1.000000,9.000000,0.222222,NaN,NaN
small_triangle,3,3,2,2,3.000000,33.333333,5.000000,2.000000,2.000000,1.000000,0,0,1.000000,3.000000,0.333333,5.196152,0.384900,4.000000,0.500000
small_triangle,3,3,2,3,5.000000,33.333333,5.000000,2.000000,2.000000,1.000000,0,0,1.000000,5.000000,0.200000,4.326749,0.462241,3.000000,0.666667
small_triangle,3,3,2,4,7.000000,33.333333,5.000000,2.000000,2.000000,1.000000,0,0,1.000000,7.000000,0.142857,3.948222,0.506557,2.666667,0.750000
small_triangle,3,3,2,5,9.000000,33.333333,5.000000,2.000000,2.000000,1.000000,0,0,1.000000,9.000000,0.111111,3.737193,0.535161,2.500000,0.800000
path_n30,30,29,29,1,1.000000,0.000000,29.000000,29.000000,29.000000,1.000000,0,1,1.000000,1.000000,1.000000,900.000000,0.032222,NaN,NaN
path_n30,30,29,29,2,3.000000,0.000000,29.000000,29.000000,29.000000,1.000000,0,0,1.000000,3.000000,0.333333,164.316767,0.176488,58.000000,0.500000
path_n30,30,29,29,3,5.000000,0.000000,29.000000,29.000000,29.000000,1.000000,0,0,1.000000,5.000000,0.200000,93.216975,0.311102,43.500000,0.666667
path_n30,30,29,29,4,7.000000,0.000000,29.000000,29.000000,29.000000,1.000000,0,0,1.000000,7.000000,0.142857,70.210420,0.413044,38.666667,0.750000
path_n30,30,29,29,5,9.000000,0.000000,29.000000,29.000000,29.000000,1.000000,0,0,1.000000,9.000000,0.111111,59.230515,0.489612,36.250000,0.800000
cycle_n30,30,30,30,1,1.000000,0.000000,30.000000,30.000000,29.000000,1.000000,0,0,1.034483,1.000000,1.000000,900.000000,0.033333,NaN,NaN
